index,id,T,formula,database,zT_pred,zT_std
1024,1509558,700,AgTe2Tl,COD,1.25858,0.263972
1025,7209352,700,AgTe2Tl3,COD,1.28137,0.286374
1206,300193,1000,Al2As3Na2,ICSD,0.560033,0.238665
1479,52627,1000,Al2K2Sb3,ICSD,0.570649,0.235602
1517,9014095,1000,Al2NaSb,COD,0.518549,0.272332
2196,402309,1000,AlAs4Ca3Na3,ICSD,0.622797,0.24344
2745,411171,1000,AlKTe2,ICSD,0.525968,0.288494
3064,610003,700,As12CeFe4,ICSD,0.758708,0.235873
3073,610521,700,As12Fe4Pr,ICSD,0.754016,0.25662
3191,609931,700,As2Cd,ICSD,1.046,0.282988
3191,609931,1000,As2Cd,ICSD,1.15522,0.290798
3195,4337945,700,As2Cd3,COD,1.07245,0.231437
3195,4337945,1000,As2Cd3,COD,1.16167,0.263801
3203,16736,700,As2CdGe,ICSD,1.13858,0.299471
3208,22182,700,As2CdSn,ICSD,1.16203,0.280462
3385,68112,700,As2Ge2Te5,ICSD,1.09509,0.289505
3386,68113,700,As2Ge3Te6,ICSD,1.10203,0.29049
3387,68114,700,As2Ge4Te7,ICSD,1.10744,0.288338
3388,63174,700,As2Ge5Te8,ICSD,1.11388,0.282991
3391,68111,700,As2GeTe4,ICSD,1.08733,0.288884
3563,2310651,700,As2SnZn,COD,1.14734,0.292086
3574,2021,1000,As2Zn,ICSD,1.1897,0.295366
3575,87576,700,As2Zn3,ICSD,1.04349,0.265373
3575,87576,1000,As2Zn3,ICSD,1.19537,0.268792
3579,7024287,1000,As3Ba2Cd2,COD,0.556681,0.291981
3651,300195,1000,As3Ga2K2,ICSD,0.566344,0.299759
3652,300194,1000,As3Ga2Na2,ICSD,0.578131,0.273217
3666,9014314,1000,As3In2K2,COD,0.55375,0.284054
3705,409381,1000,As3Rb2,ICSD,0.554239,0.292073
3723,424761,1000,As4Ba3Cd2,ICSD,0.56876,0.289978
3727,30702,1000,As4Ba3Sn2,ICSD,0.548309,0.293896
3750,61336,1000,As4Ca3In2,ICSD,0.514674,0.284689
3756,42132,700,As4Cd2Ge,ICSD,1.11083,0.288145
3792,40206,1000,As4Ga3K3,ICSD,0.565075,0.297674
3793,402286,1000,As4GaNa3Sr3,ICSD,0.613121,0.269283
3797,41107,700,As4GeTe7,ICSD,1.08032,0.288808
3872,27,1000,As6Ca5Ga2,ICSD,0.533334,0.290214
3873,61037,1000,As6Ca5Sn2,ICSD,0.514284,0.282966
3890,4329210,1000,As6Sn2Sr5,COD,0.513646,0.2907
4028,432,700,AsCd,ICSD,1.06549,0.240752
4028,432,1000,AsCd,ICSD,1.15928,0.272461
4611,4340531,700,AsZn,COD,1.05058,0.281251
4611,4340531,1000,AsZn,COD,1.19082,0.287799
7914,418886,1000,Ba11Cd6Sb12,ICSD,0.583434,0.256697
8002,420620,1000,Ba2Cd2KSb3,ICSD,0.641934,0.236983
8003,7024288,1000,Ba2Cd2Sb3,COD,0.577961,0.284247
8011,248938,1000,Ba2CeInTe5,ICSD,0.578029,0.29012
8463,4306710,1000,Ba3Cd2Sb4,COD,0.583983,0.286178
8664,167166,1000,Ba3Sn5,ICSD,0.571374,0.275291
8803,62305,1000,Ba5In2Sb6,ICSD,0.564459,0.262187
8804,2240552,1000,Ba5In4Sb6,COD,0.571488,0.278475
8892,60583,1000,Ba7Ga4Sb9,ICSD,0.578877,0.263479
8990,4308071,1000,BaCaSn3,COD,0.558924,0.267722
9293,658735,700,BaFe4Sb12,ICSD,0.788722,0.222276
9428,58657,1000,BaIn2,ICSD,0.559811,0.281268
9834,8102994,1000,BaSn2,COD,0.574461,0.286443
10210,159465,700,Bi2BrInSe4,ICSD,1.28145,0.2757
10314,1527926,700,Bi2Ge3Te6,COD,1.1872,0.29454
10316,30394,700,Bi2GeTe4,ICSD,1.17303,0.291375
10421,42708,700,Bi2Pb2Te5,ICSD,1.11403,0.282875
10425,616936,700,Bi2PbTe4,ICSD,1.11238,0.285385
10486,423016,700,Bi3IIn2Se7,ICSD,1.26557,0.285343
10557,42891,700,Bi4GeTe7,ICSD,1.17128,0.291881
10579,42707,700,Bi4PbTe7,ICSD,1.11034,0.289123
10582,236253,700,Bi4SnTe7,ICSD,1.13728,0.289865
10629,1531626,700,Bi6PbTe10,COD,1.10168,0.290232
10814,408442,700,BiGa2Se4,ICSD,1.18358,0.280156
10837,423015,700,BiIIn2Se4,ICSD,1.28431,0.272266
11011,2310403,700,BiTe2Tl,COD,1.14848,0.274158
55464,420619,1000,Ca2Cd2KSb3,ICSD,0.640858,0.249058
55481,4002083,700,Ca2Co2O5,COD,0.545754,0.274698
55522,25323,1000,Ca2Ge3Li,ICSD,0.529787,0.264927
55675,58894,1000,Ca3Ga5,ICSD,0.545622,0.282835
55676,108796,1000,Ca3Ga8,ICSD,0.568249,0.2914
55810,36466,1000,Ca5Ga2Sb6,ICSD,0.548796,0.269931
55821,36467,1000,Ca5In2Sb6,ICSD,0.532558,0.260802
55846,4310163,1000,Ca6Cu2Sn7,COD,0.521188,0.247278
55865,4309296,1000,Ca7Li5Sn11,COD,0.500151,0.284272
55868,1528162,1000,Ca7Ni4Sn13,COD,0.516463,0.286934
56022,248622,700,CaFe4Sb12,ICSD,0.822604,0.276938
56030,619281,1000,CaGa2,ICSD,0.553577,0.288621
56031,8103269,1000,CaGa2Ni,COD,0.532861,0.286177
56151,58906,1000,CaIn2,ICSD,0.528912,0.281764
56421,240053,1000,Cd12In48K23Na8,ICSD,0.548994,0.28952
56426,4108676,700,Cd13Sb10,COD,1.103,0.274508
56443,619652,1000,Cd2Ce,ICSD,0.530348,0.29821
56457,420621,1000,Cd2Eu2KSb3,ICSD,0.705411,0.295952
56482,420623,1000,Cd2KSb3Sr2,ICSD,0.636043,0.239983
56569,76500,700,Cd3Sb3Tl2,ICSD,1.29906,0.293188
56634,52832,700,Cd6Sb5,ICSD,1.09356,0.284757
56825,4000657,700,CdGeTe4Tl2,COD,1.31375,0.249977
57028,9008881,700,CdSb,COD,1.10631,0.288782
57030,7222183,700,CdSbTl,COD,1.31996,0.290027
57033,9011664,700,CdSe,COD,1.00245,0.295364
57033,9011664,1000,CdSe,COD,1.16503,0.299371
57035,620451,700,CdSe2Tl,ICSD,1.26737,0.296517
57041,4000658,700,CdSnTe4Tl2,COD,1.30687,0.251765
57046,620548,700,CdTe2Tl,ICSD,1.2577,0.267335
57047,620549,700,CdTe4Tl2,ICSD,1.24413,0.254713
57069,622227,1000,Ce11Sn10,ICSD,0.510177,0.287258
57123,425075,1000,Ce2Ga3Ru2,ICSD,0.531524,0.295459
57124,415108,1000,Ce2Ge2In,ICSD,0.512317,0.285639
57215,428424,1000,Ce2Te3,ICSD,0.608281,0.26358
57257,621367,1000,Ce3In5,ICSD,0.521043,0.2987
57296,1524382,1000,Ce3Sn,COD,0.506266,0.278396
57297,622236,1000,Ce3Sn5,ICSD,0.570964,0.283782
57298,63667,1000,Ce3Sn7,ICSD,0.620622,0.28757
57305,54578,1000,Ce4Co2Sn5,ICSD,0.535569,0.285183
57364,4307876,1000,Ce5Li2Sn7,COD,0.653654,0.298231
57381,622219,1000,Ce5Sn3,ICSD,0.514713,0.289844
57382,1527417,1000,Ce5Sn4,COD,0.508027,0.28926
57518,621065,700,CeFe4Sb12,ICSD,0.763644,0.096291
57518,621065,1000,CeFe4Sb12,ICSD,0.898025,0.2751
57611,621366,1000,CeIn2,ICSD,0.533598,0.299447
57613,412515,1000,CeIn2Ni,ICSD,0.531233,0.29299
57738,621687,1000,CeNiSn2,ICSD,0.591252,0.296201
57821,98658,1000,CeRbTe2,ICSD,0.532856,0.290024
57859,1526918,1000,CeSbTe,COD,0.557581,0.288038
59738,157364,1000,Co2Ga7Mg3,ICSD,0.51811,0.28637
60176,87886,700,Co4Sb12Sn,ICSD,1.23147,0.262094
60964,9015513,700,CoSb3,COD,0.719882,0.234198
61819,56387,1000,Cs2In2Sb3,ICSD,0.587289,0.279728
61820,1525490,1000,Cs2In3,COD,0.55389,0.295781
61835,2006421,1000,Cs2Mn3Te4,COD,0.501409,0.286876
62204,412155,1000,Cs5Sb8,ICSD,0.574297,0.276821
62212,300150,1000,Cs6GaK3Sb4,ICSD,0.509053,0.283826
62293,420782,1000,CsCuTe4Y2,ICSD,0.507443,0.277286
62844,656155,700,Cu2GeHgTe4,ICSD,1.29275,0.295721
62885,656158,700,Cu2HgSnTe4,ICSD,1.28635,0.298261
63068,9008064,1000,Cu2Se,COD,1.33712,0.292847
63267,1528745,1000,Cu3Se2,COD,1.14066,0.285875
67076,1524856,1000,Fe2Ga6Sc3,COD,0.509497,0.26538
67424,79927,700,Fe4NdSb12,ICSD,0.783804,0.187579
67443,633160,700,Fe4PrSb12,ICSD,0.765743,0.153005
67443,633160,1000,Fe4PrSb12,ICSD,0.912056,0.297279
67444,658733,700,Fe4Sb12Sr,ICSD,0.78761,0.249886
67934,424710,700,FePb4Sb6Se14,ICSD,1.2361,0.283041
68067,7221113,1000,Ga13Na7,COD,0.565022,0.288759
68106,7221336,1000,Ga29In12Na17,COD,0.553342,0.284598
68134,5910282,700,Ga2HgSe4,COD,1.19822,0.2943
68135,53575,700,Ga2HgTe4,ICSD,1.23106,0.276125
68147,300196,1000,Ga2K2Sb3,ICSD,0.590519,0.273867
68155,634508,1000,Ga2LaNi,ICSD,0.523034,0.262311
68167,1523559,1000,Ga2Mg,COD,0.578498,0.282502
68168,1522852,1000,Ga2Mg5,COD,0.51388,0.294838
68203,1522446,1000,Ga2NiSc,COD,0.501933,0.258337
68207,1523101,1000,Ga2NiY,COD,0.510672,0.267071
68231,635052,700,Ga2PbSe4,ICSD,1.21644,0.28032
68251,1522720,1000,Ga2Sc,COD,0.538069,0.268179
68262,150473,1000,Ga2Sr,ICSD,0.54904,0.289875
68267,657608,700,Ga2Te3,ICSD,1.15448,0.27077
68268,5910274,700,Ga2Te4Zn,COD,1.15771,0.273229
68269,635505,700,Ga2Te5,ICSD,1.11818,0.290241
68277,1523309,1000,Ga2Y,COD,0.562311,0.263299
68283,2106103,1000,Ga39Na22,COD,0.564674,0.291436
68303,66031,700,Ga3ITe3,ICSD,1.19486,0.282923
68307,160496,1000,Ga3K2,ICSD,0.561036,0.299325
68384,250747,700,Ga4GePb4Se12,ICSD,1.24031,0.270395
68395,1533157,1000,Ga4LiY,COD,0.552512,0.268019
68426,1522456,1000,Ga4Ti2Y,COD,0.510057,0.268512
68448,23227,1000,Ga5Mg2,ICSD,0.590901,0.285239
68472,635339,1000,Ga5Sc3,ICSD,0.527226,0.268982
68480,635659,1000,Ga5Y3,ICSD,0.550833,0.264261
68514,400668,700,Ga7Te10,ICSD,1.15302,0.271155
68696,1523635,1000,GaMg2,COD,0.510173,0.293132
68876,43328,700,GaTe,ICSD,1.12413,0.299691
68877,1527851,700,GaTe2Tl,COD,1.26409,0.297609
69423,400448,700,Ge20In3K4,ICSD,0.567171,0.27556
69569,1517992,1000,Ge2Na4Te5,COD,0.562696,0.276283
69681,637839,1000,Ge2Sc,ICSD,0.549969,0.284583
69683,26415,700,Ge2Se5Tl2,ICSD,1.20169,0.291749
69740,414575,1000,Ge3LiSr2,ICSD,0.513319,0.270648
70109,4000659,700,GeHgTe4Tl2,COD,1.31336,0.260821
70133,81469,1000,GeIn4La3,ICSD,0.542546,0.245344
70272,4000661,700,GeMnTe4Tl2,COD,1.30648,0.286548
70500,56604,700,GeTe,ICSD,1.07749,0.278861
70501,80292,700,GeTe3Tl2,ICSD,1.26228,0.292373
70504,69035,700,GeTe5Tl2,ICSD,1.19614,0.270249
72046,83906,1000,HfLa3Sb5,ICSD,0.541195,0.285109
72369,4000660,700,HgSnTe4Tl2,COD,1.29192,0.262494
73031,370002,1000,In11K8,ICSD,0.537612,0.292477
73036,370033,1000,In11Rb8,ICSD,0.54599,0.292839
73067,9015376,1000,In2K2Sb3,COD,0.578327,0.26677
73070,51951,1000,In2La,ICSD,0.524545,0.270143
73083,109097,1000,In2Mg5,ICSD,0.522662,0.297672
73094,300192,1000,In2Na2Sb3,ICSD,0.600249,0.254332
73105,411077,1000,In2NiPr,ICSD,0.525194,0.299362
73108,413459,1000,In2NiY,ICSD,0.512657,0.243534
73130,4302601,700,In2Pb4Sb4Se13,COD,1.20682,0.283461
73140,2005745,1000,In2Rb2Sb3,COD,0.586224,0.276227
73153,36468,1000,In2Sb6Sr5,ICSD,0.533772,0.269448
73155,4302480,700,In2Sb6Zn9,COD,1.13597,0.220528
73156,1376,700,In2Se3,ICSD,1.10763,0.296474
73160,414235,1000,In2Sr,ICSD,0.536308,0.279013
73177,4339489,1000,In3MgSr,COD,0.503163,0.27017
73190,370026,1000,In3Rb2,ICSD,0.552926,0.291977
73215,7221337,1000,In41K17,COD,0.550568,0.292043
73263,165362,1000,In5La3,ICSD,0.507718,0.270594
73293,165364,1000,In5Y3,ICSD,0.507658,0.269783
73303,165188,1000,In7K2Sr,ICSD,0.584618,0.266292
73324,165180,1000,In9KNa3,ICSD,0.553045,0.299461
73328,4309584,1000,In9Li2Y5,COD,0.560078,0.243658
73972,411279,1000,K2LiSn4,ICSD,0.551478,0.299473
74685,80945,1000,KSb2,ICSD,0.608567,0.294035
74860,423418,1000,La3Sn4,ICSD,0.546651,0.255148
74861,165185,1000,La3Sn5,ICSD,0.545553,0.267377
74862,261872,1000,La3Sn7,ICSD,0.61295,0.275742
75152,601624,1000,LaSbTe,ICSD,0.532186,0.282277
75163,657383,1000,LaSn2,ICSD,0.539345,0.267456
75167,1521989,1000,LaTe2,COD,0.688753,0.236288
75314,2019431,1000,Li2Sm5Sn7,COD,0.671227,0.29831
75620,411278,1000,LiRb2Sn4,ICSD,0.547648,0.298944
76583,643758,1000,MnSn2Y,ICSD,0.502508,0.229117
76585,4000662,700,MnSnTe4Tl2,COD,1.30545,0.293759
77315,8103057,1000,Na2Sn4Sr,COD,0.589788,0.257447
77898,412926,1000,Nd2Sn3,ICSD,0.625794,0.293498
78090,54292,1000,NdSn2,ICSD,0.628112,0.295611
78093,9008692,1000,NdTe,COD,0.513093,0.295548
78568,186293,1000,NiSn2Y,ICSD,0.502453,0.234105
80184,77882,700,PbTe,ICSD,1.05425,0.260668
80457,649398,1000,Pr3Sn5,ICSD,0.59069,0.295121
80529,657389,1000,PrSn2,ICSD,0.600876,0.295969
80532,77936,1000,PrTe,ICSD,0.507956,0.294736
80815,300212,1000,Rb4Sb6Sn,ICSD,0.576816,0.27137
80836,419402,1000,RbSb2,ICSD,0.604143,0.293505
81333,4113278,700,Sb10Zn13,COD,1.08794,0.135584
81333,4113278,1000,Sb10Zn13,COD,1.15666,0.230975
81344,651588,700,Sb2SnZn,ICSD,1.15817,0.294388
81355,76499,700,Sb2TlZn2,ICSD,1.28774,0.295322
81360,651733,1000,Sb2Y,ICSD,0.601411,0.289248
81363,9015418,700,Sb2Zn,COD,1.0726,0.243958
81363,9015418,1000,Sb2Zn,COD,1.14133,0.272365
81397,1524598,700,Sb5Zn6,COD,1.0765,0.163885
81397,1524598,1000,Sb5Zn6,COD,1.14598,0.236782
81398,418213,700,Sb65Zn84,ICSD,1.08794,0.135584
81398,418213,1000,Sb65Zn84,ICSD,1.15666,0.230975
81403,36537,700,SbSe2Tl,ICSD,1.1872,0.285073
81417,651642,700,SbTe2Tl,ICSD,1.17221,0.266556
81434,9008882,700,SbZn,COD,1.08753,0.178339
81434,9008882,1000,SbZn,COD,1.15543,0.263088
81456,106965,1000,ScSn2,ICSD,0.508491,0.269348
81693,416771,1000,Sn2Y,ICSD,0.577001,0.263989
81708,1527516,1000,Sn3Y5,COD,0.504704,0.278718
81719,165183,1000,Sn5Sr3,ICSD,0.559687,0.267618
81730,69562,700,SnTe3Tl2,ICSD,1.24483,0.288915
81732,73666,700,SnTe5Tl2,ICSD,1.16637,0.267516
81804,653179,1000,Te2Y,ICSD,0.625826,0.282285
81805,160182,1000,Te2Y7,ICSD,0.511199,0.286243
81808,410895,700,Te3Tl2,ICSD,1.21526,0.265368
81814,653174,1000,Te3Y2,ICSD,0.568685,0.281914
81839,80076,700,TeZn,ICSD,1.02001,0.289479
