level_0,id,T,formula,database,zT_pred,zT_std,rough_correlation
10425,616936,700,Bi2PbTe4,ICSD,1.1166,0.281415,2.48716
255,1509890,700,Ag3AuTe2,COD,1.1236,0.320811,2.65582
11644,1524480,1000,BrCuSe3,COD,1.19242,0.32993,2.67975
76557,7024693,1000,MnSb11Yb14,COD,0.756364,0.30878,2.71013
557,9001316,700,AgBiTe2,COD,1.18379,0.307524,3.02984
252,1509845,1000,Ag3AsSe3,COD,1.12817,0.327267,3.09999
3791,423785,1000,As4Ga2Sr3,ICSD,0.546707,0.329201,3.10256
555,9011022,700,AgBiSe2,COD,1.24655,0.320281,3.12154
10629,1531626,700,Bi6PbTe10,COD,1.10906,0.295108,3.19193
363,164499,1000,Ag4Nd3Sn4,ICSD,0.587914,0.325822,3.2496
10183,412895,700,Bi14Br16Pd,ICSD,1.27206,0.323481,3.30331
76585,4000662,700,MnSnTe4Tl2,COD,1.28986,0.313369,3.34145
9312,615865,700,BaGa4,ICSD,0.516855,0.300382,3.73191
1711,607997,1000,Al3Ge4Nd2,ICSD,0.561826,0.320997,3.74657
3274,610303,1000,As2Cu,ICSD,1.1213,0.32746,3.82248
10430,58840,700,Bi2Pd5,ICSD,1.18658,0.324697,3.91784
3392,2310650,1000,As2GeZn,COD,1.20089,0.325576,4.02046
3392,2310650,700,As2GeZn,COD,1.16573,0.296254,4.02046
1517,9014095,1000,Al2NaSb,COD,0.506227,0.265877,4.05711
8011,248938,1000,Ba2CeInTe5,ICSD,0.587654,0.288443,4.10903
1712,608006,1000,Al3Ge4Pr2,ICSD,0.533286,0.329913,4.33377
8803,62305,1000,Ba5In2Sb6,ICSD,0.574347,0.268951,4.36124
1206,300193,1000,Al2As3Na2,ICSD,0.568922,0.230608,4.38724
10814,408442,700,BiGa2Se4,ICSD,1.17575,0.27818,4.50901
742,1509358,1000,AgGd,COD,0.519397,0.317909,4.53406
3651,300195,1000,As3Ga2K2,ICSD,0.588137,0.308444,4.5599
1006,1509541,700,AgSe2Tl,COD,1.28439,0.309102,4.64095
440,2105379,1000,Ag8GeSe6,COD,1.13446,0.302224,4.70076
815,151871,700,AgIn5Te8,ICSD,1.19041,0.323971,4.72147
8993,58643,1000,BaCd2,ICSD,0.541111,0.326626,4.90155
740,1509351,700,AgGaSe2,COD,1.11,0.324478,4.93405
11451,151988,700,Br5Sn2Tl,ICSD,1.19239,0.328844,4.94197
814,1509418,700,AgIn5Se8,COD,1.14269,0.301901,5.15687
814,1509418,1000,AgIn5Se8,COD,1.18677,0.320991,5.15687
10651,1527367,700,Bi8Te9,COD,1.065,0.312393,5.27439
10582,236253,700,Bi4SnTe7,ICSD,1.14544,0.298486,5.31981
3890,4329210,1000,As6Sn2Sr5,COD,0.535232,0.288501,5.38122
10534,415130,700,Bi4Br4Ga,ICSD,1.31571,0.282997,5.52798
3872,27,1000,As6Ca5Ga2,ICSD,0.55442,0.296993,5.60576
1030,1509557,700,AgTeTl,COD,1.32432,0.291403,5.61203
4519,1527777,700,AsPb2Pd3,COD,1.31228,0.32356,5.68291
11371,419826,700,Br4GaTl,ICSD,1.22718,0.326599,5.76736
10421,42708,700,Bi2Pb2Te5,ICSD,1.12569,0.279996,5.77527
449,2105383,1000,Ag9GaSe6,COD,1.14303,0.314452,5.86538
103,88168,700,Ag2GeIn2Se6,ICSD,1.14639,0.310058,5.88487
3873,61037,1000,As6Ca5Sn2,ICSD,0.537427,0.284346,6.07407
10420,30372,700,Bi2Pb2Se5,ICSD,1.18829,0.308222,6.12781
1654,606466,1000,Al3Ce2Ge4,ICSD,0.541407,0.322871,6.18544
3191,609931,700,As2Cd,ICSD,1.06204,0.283332,6.19129
3191,609931,1000,As2Cd,ICSD,1.13648,0.27739,6.19129
823,1509408,700,AgInSe2,COD,1.11487,0.319453,6.19692
3756,42132,1000,As4Cd2Ge,ICSD,1.15323,0.289956,6.39654
3756,42132,700,As4Cd2Ge,ICSD,1.14381,0.281272,6.39654
3563,2310651,1000,As2SnZn,COD,1.18422,0.321978,6.4336
3563,2310651,700,As2SnZn,COD,1.16631,0.287185,6.4336
10510,616947,700,Bi3Pd8,ICSD,1.18142,0.319505,6.49636
9352,4341884,700,BaGe5,COD,0.539247,0.322644,6.5507
3605,9011252,700,As3Cd2I,COD,1.10201,0.314737,6.86629
3605,9011252,1000,As3Cd2I,COD,1.19303,0.324737,6.86629
3727,30702,1000,As4Ba3Sn2,ICSD,0.581672,0.31689,7.09252
3859,31877,1000,As5ITe7,ICSD,1.13108,0.320662,7.12917
3859,31877,700,As5ITe7,ICSD,1.10144,0.30172,7.12917
743,1509361,1000,AgGdGe,COD,0.527464,0.312303,7.16163
10316,30394,700,Bi2GeTe4,ICSD,1.18053,0.286465,7.35922
808,4027807,700,AgISe3,COD,1.03096,0.329246,7.3677
3566,2310540,1000,As2Te3,COD,1.08177,0.312184,7.41794
3566,2310540,700,As2Te3,COD,1.06464,0.302536,7.41794
8892,60583,1000,Ba7Ga4Sb9,ICSD,0.597449,0.274573,7.42283
8664,167166,1000,Ba3Sn5,ICSD,0.59455,0.284477,7.54647
9834,8102994,1000,BaSn2,COD,0.594821,0.308163,7.58249
3723,424761,1000,As4Ba3Cd2,ICSD,0.605972,0.30689,7.69564
3077,610778,700,As12LaRu4,ICSD,0.792121,0.300693,7.70534
10210,159465,700,Bi2BrInSe4,ICSD,1.27583,0.285601,7.79459
3797,41107,700,As4GeTe7,ICSD,1.08263,0.28921,7.79774
3797,41107,1000,As4GeTe7,ICSD,1.08193,0.290781,7.79774
369,164498,1000,Ag4Pr3Sn4,ICSD,0.545544,0.322717,8.09851
3208,22182,1000,As2CdSn,ICSD,1.1792,0.314492,8.22881
3208,22182,700,As2CdSn,ICSD,1.17697,0.276512,8.22881
10609,1528273,700,Bi6Br7,COD,1.16584,0.326978,8.37474
446,1509989,1000,Ag8Se6Sn,COD,1.13396,0.302041,8.38111
9307,4316404,1000,BaGa2P2,COD,0.515928,0.31002,8.38292
9303,58649,1000,BaGa2,ICSD,0.509318,0.328814,8.48969
3203,16736,700,As2CdGe,ICSD,1.16272,0.287723,8.64717
3203,16736,1000,As2CdGe,ICSD,1.16932,0.319629,8.64717
8434,61089,1000,Ba2Sb3,ICSD,0.520082,0.327636,8.78642
419,604758,1000,Ag7AsSe6,ICSD,1.11534,0.296157,8.9851
10583,9011203,700,Bi4Te3,COD,1.05057,0.327127,9.16958
9293,658735,700,BaFe4Sb12,ICSD,0.789831,0.207129,9.17317
10837,423015,700,BiIIn2Se4,ICSD,1.29039,0.265483,9.60293
2196,402309,1000,AlAs4Ca3Na3,ICSD,0.636001,0.232039,9.6818
567,8103387,700,AgBr5Pb2,COD,1.24545,0.322583,9.82812
3234,9012076,700,As2Co,COD,0.784902,0.280398,9.83123
3234,9012076,1000,As2Co,COD,0.976938,0.328129,9.83123
10847,1527697,700,BiIn2,COD,1.17737,0.324901,9.89635
11216,1527495,700,Br2Tl,COD,1.24688,0.328022,9.93715
10516,20386,700,Bi3Se4,ICSD,1.16189,0.324526,10.3291
78362,42078,700,Ni6Se5,ICSD,0.77388,0.322943,10.6483
225,9000252,1000,Ag2Se,COD,1.26539,0.318665,10.9704
1003,1509538,700,AgSe,COD,0.88581,0.322684,10.9803
1003,1509538,1000,AgSe,COD,1.10613,0.301203,10.9803
1084,58150,700,Al12Re,ICSD,0.516109,0.318028,11.0856
11719,414218,700,BrIn5Se5,ICSD,1.16212,0.313849,11.3083
11533,99127,700,Br6TeTl2,ICSD,1.22708,0.324502,11.414
78492,1008058,700,NiRh2Se4,COD,0.899172,0.318202,12.111
3878,8103673,1000,As6Cu7Se13,COD,1.20391,0.323474,12.2742
3878,8103673,700,As6Cu7Se13,COD,1.0373,0.322259,12.2742
4028,432,700,AsCd,ICSD,1.07904,0.23877,12.2826
4028,432,1000,AsCd,ICSD,1.14852,0.262379,12.2826
10443,617096,700,Bi2Se3,ICSD,1.16209,0.323375,12.3616
10557,42891,700,Bi4GeTe7,ICSD,1.18089,0.285949,12.5097
4139,610361,1000,AsCu3Se4,ICSD,1.12036,0.317667,12.5242
3652,300194,1000,As3Ga2Na2,ICSD,0.601591,0.27484,12.5254
10453,408138,700,Bi34Br37Ir3,ICSD,1.2194,0.328372,12.5303
3750,61336,1000,As4Ca3In2,ICSD,0.533653,0.29877,12.6365
9428,58657,1000,BaIn2,ICSD,0.5666,0.303763,13.0229
10649,42665,700,Bi8Se9,ICSD,1.16589,0.323953,13.385
10446,9012858,700,Bi2Te3,COD,1.07384,0.318488,13.4662
10669,83806,700,BiBr4Te2,ICSD,1.15477,0.317954,13.7174
4158,42884,1000,AsCuSe2,ICSD,1.20153,0.326729,13.8223
4158,42884,700,AsCuSe2,ICSD,1.04536,0.322126,13.8223
10454,391191,700,Bi37Br48In,ICSD,1.26863,0.306586,14.0003
76583,643758,1000,MnSn2Y,ICSD,0.511761,0.233838,14.0554
9536,7221197,1000,BaMnSb2,COD,0.514748,0.283718,14.2878
10458,411096,700,Bi3BrSe4,ICSD,1.18563,0.314927,14.3357
92,1509804,1000,Ag2Gd,COD,0.576153,0.32561,14.3696
494,1509200,700,AgAsSe2,COD,1.05813,0.305807,14.4211
494,1509200,1000,AgAsSe2,COD,1.16781,0.316847,14.4211
8002,420620,1000,Ba2Cd2KSb3,ICSD,0.651008,0.237056,14.7816
10314,1527926,700,Bi2Ge3Te6,COD,1.19071,0.297826,15.1711
78483,646263,1000,NiPrSb2,ICSD,0.559896,0.328687,15.59
11211,418160,700,Br2PdSe6,ICSD,1.03677,0.327035,15.6076
11211,418160,1000,Br2PdSe6,ICSD,1.18182,0.327694,15.6076
3616,1011231,700,As3Co,COD,0.841194,0.318072,15.7237
3666,9014314,1000,As3In2K2,COD,0.579183,0.289551,16.0616
5390,9011287,700,AuTe2,COD,1.07518,0.324343,16.6728
3579,7024287,1000,As3Ba2Cd2,COD,0.594065,0.312664,17.1504
3574,2021,700,As2Zn,ICSD,1.06875,0.292769,17.1548
3574,2021,1000,As2Zn,ICSD,1.17768,0.285879,17.1548
3575,87576,700,As2Zn3,ICSD,1.05516,0.254544,17.2508
3575,87576,1000,As2Zn3,ICSD,1.19408,0.274704,17.2508
3358,9012340,700,As2Fe,COD,0.767802,0.290916,17.4153
8003,7024288,1000,Ba2Cd2Sb3,COD,0.593284,0.304123,17.5068
2745,411171,1000,AlKTe2,ICSD,0.527238,0.305765,17.5625
1479,52627,1000,Al2K2Sb3,ICSD,0.576399,0.223473,17.6178
3385,68112,700,As2Ge2Te5,ICSD,1.09416,0.292049,17.7714
3385,68112,1000,As2Ge2Te5,ICSD,1.08152,0.290557,17.7714
3066,610013,700,As12CeRu4,ICSD,0.777788,0.307881,18.4852
4990,416287,700,AuBi8Br9Sb,ICSD,1.26579,0.328816,18.5297
3195,4337945,700,As2Cd3,COD,1.0829,0.21962,18.64
3195,4337945,1000,As2Cd3,COD,1.1602,0.259316,18.64
3559,9011471,700,As2Se3,COD,1.05215,0.316627,19.1188
3559,9011471,1000,As2Se3,COD,1.16209,0.319276,19.1188
3064,610003,700,As12CeFe4,ICSD,0.74899,0.21344,19.7887
3064,610003,1000,As12CeFe4,ICSD,0.898893,0.30103,19.7887
3834,611376,1000,As4Se3,ICSD,1.15978,0.322627,19.8295
3777,41169,1000,As4Cu3,ICSD,1.11487,0.320373,19.8827
78533,42596,700,NiSe,ICSD,0.802418,0.322435,21.428
4611,4340531,1000,AsZn,COD,1.18619,0.286155,22.0205
4611,4340531,700,AsZn,COD,1.06939,0.275807,22.0205
4597,44071,700,AsTe,ICSD,1.05648,0.291593,31.269
4597,44071,1000,AsTe,ICSD,1.08643,0.308495,31.269
10486,423016,700,Bi3IIn2Se7,ICSD,1.27114,0.292252,48.0151
10578,4340717,700,Bi4Pb7Se13,COD,1.19174,0.30756,50.6362
10579,42707,700,Bi4PbTe7,ICSD,1.11679,0.289232,54.2515
8439,49751,1000,Ba2SiTe4,ICSD,0.513732,0.317998,64.5323
242,8103410,700,Ag36Te22Tl7,COD,1.18099,0.30882,67.433
3388,63174,700,As2Ge5Te8,ICSD,1.10495,0.291537,70.0927
3388,63174,1000,As2Ge5Te8,ICSD,1.08362,0.293004,70.0927
3386,68113,1000,As2Ge3Te6,ICSD,1.08574,0.29187,74.7688
3386,68113,700,As2Ge3Te6,ICSD,1.10411,0.289764,74.7688
76528,4335332,1000,MnPr4Sb9,COD,0.601054,0.305262,81.8534
11517,78874,700,Br6Pb2Pd,ICSD,1.22753,0.325103,83.7235
131,95094,700,Ag2HgSe4Sn,ICSD,1.26782,0.316913,85.6436
78508,9012583,700,NiSb2,COD,0.987327,0.325877,87.8369
57146,157331,1000,Ce2In3Ru2,ICSD,0.50888,0.285269,89.6532
8804,2240552,1000,Ba5In4Sb6,COD,0.583448,0.3,91.6564
78277,9009243,700,Ni3Se2,COD,0.758121,0.320538,91.926
78077,1526291,1000,NdSb,COD,0.520146,0.29993,97.9573
3792,40206,1000,As4Ga3K3,ICSD,0.583915,0.307395,97.9581
8990,4308071,1000,BaCaSn3,COD,0.582214,0.27915,98.7483
3090,611222,700,As12PrRu4,ICSD,0.777823,0.313114,99.7193
3387,68114,700,As2Ge4Te7,ICSD,1.10926,0.288482,101.753
3387,68114,1000,As2Ge4Te7,ICSD,1.08774,0.291723,101.753
3391,68111,700,As2GeTe4,ICSD,1.08232,0.290828,101.938
3391,68111,1000,As2GeTe4,ICSD,1.07956,0.291841,101.938
7914,418886,1000,Ba11Cd6Sb12,ICSD,0.597302,0.253333,104.015
3793,402286,1000,As4GaNa3Sr3,ICSD,0.631635,0.269017,104.547
5316,150127,700,AuNi2Sn4,ICSD,1.24938,0.302608,104.894
56474,58983,700,Cd2Hg,ICSD,1.1379,0.308843,113.532
4577,412790,700,AsSe2Tl,ICSD,1.18741,0.312441,113.969
4572,9001315,700,AsSb,COD,1.01974,0.320765,114.394
8463,4306710,1000,Ba3Cd2Sb4,COD,0.610476,0.303392,114.877
11522,405773,1000,Br6PdTe2,ICSD,1.15902,0.328137,115.173
5376,1510301,700,AuSn,COD,1.16119,0.329549,120.427
4576,4031223,1000,AsSe,COD,1.16356,0.320842,120.649
4576,4031223,700,AsSe,COD,1.05079,0.317831,120.649
78512,190327,700,NiSb3,ICSD,1.00553,0.315315,122.861
4395,4321149,1000,AsLaTe,COD,0.510414,0.322981,123.186
78046,98659,1000,NdRbTe2,ICSD,0.518038,0.324646,129.78
55868,1528162,1000,Ca7Ni4Sn13,COD,0.548632,0.327178,134.876
3073,610521,1000,As12Fe4Pr,ICSD,0.911371,0.312812,135.655
3073,610521,700,As12Fe4Pr,ICSD,0.744935,0.226365,135.655
11004,9008603,700,BiSe,COD,1.16529,0.324734,137.038
77360,1010292,1000,Na3Sb,COD,0.502246,0.311964,137.536
78342,646285,1000,Ni5PrSn,ICSD,0.51949,0.324215,139.59
3097,426155,1000,As22Ba13Si6Sn8,ICSD,0.50013,0.308757,141.769
1024,1509558,700,AgTe2Tl,COD,1.26592,0.263862,144.453
56814,424172,1000,CdGe2Sm2,ICSD,0.551488,0.328685,144.667
75134,641783,700,LaRu4Sb12,ICSD,0.757318,0.311864,144.817
57564,164892,1000,CeGe3V,ICSD,0.540911,0.309287,147.548
80798,1520875,1000,Rb2Te3,COD,0.587988,0.328089,150.759
56482,420623,1000,Cd2KSb3Sr2,ICSD,0.642045,0.243072,151.481
81702,4000005,1000,Sn3Ti2,COD,0.521091,0.307884,151.721
77315,8103057,1000,Na2Sn4Sr,COD,0.613378,0.266604,155.201
77905,645653,1000,Nd3Ni2Sn7,ICSD,0.582645,0.307288,155.94
1025,7209352,700,AgTe2Tl3,COD,1.29517,0.273591,158.98
75044,641595,1000,LaNiSn2,ICSD,0.504224,0.256386,159.937
78063,645809,700,NdRu4Sb12,ICSD,0.766158,0.324205,163.17
68372,1522711,1000,Ga3Zr2,COD,0.507577,0.306136,164.053
78078,602797,1000,NdSb2,ICSD,0.67962,0.326398,164.857
81392,4000207,1000,Sb5Sm3Ti,COD,0.587298,0.309652,164.998
78090,54292,1000,NdSn2,ICSD,0.632239,0.290829,165.205
11005,617113,700,BiSe2Tl,ICSD,1.20945,0.301667,166.413
67934,424710,700,FePb4Sb6Se14,ICSD,1.24868,0.27446,167.907
77960,657375,1000,Nd5Sn3,ICSD,0.532014,0.312726,168.009
75163,657383,1000,LaSn2,ICSD,0.534502,0.269244,168.826
57300,1524611,1000,Ce3Tl,COD,0.537763,0.313361,168.827
81544,48145,700,Se9V2,ICSD,0.847998,0.311043,170.366
70500,56604,700,GeTe,ICSD,1.07809,0.279477,170.53
70500,56604,1000,GeTe,ICSD,1.08778,0.282806,170.53
81360,651733,1000,Sb2Y,ICSD,0.599856,0.289423,170.659
3705,409381,1000,As3Rb2,ICSD,0.566956,0.294819,172.584
81804,653179,1000,Te2Y,ICSD,0.603337,0.289813,173.431
80806,77991,1000,Rb3Sb,ICSD,0.506985,0.304697,173.535
68268,5910274,700,Ga2Te4Zn,COD,1.17642,0.282851,179.3
63878,628131,1000,CuInSm,ICSD,0.508163,0.326466,179.513
4579,611388,700,AsSe4Tl3,ICSD,1.2547,0.30323,180.465
56022,248622,700,CaFe4Sb12,ICSD,0.82633,0.268296,181.231
78487,646289,1000,NiPrSn2,ICSD,0.574614,0.31638,181.528
68307,160496,1000,Ga3K2,ICSD,0.570453,0.311046,181.795
68876,43328,700,GaTe,ICSD,1.12766,0.311176,182.44
56811,424171,1000,CdGe2Nd2,ICSD,0.523911,0.309263,183.376
68168,1522852,1000,Ga2Mg5,COD,0.512886,0.306562,183.951
68254,37168,700,Ga2Se3,ICSD,1.12481,0.308201,184.056
68254,37168,1000,Ga2Se3,ICSD,1.20928,0.314971,184.056
63068,9008064,1000,Cu2Se,COD,1.33137,0.301132,184.33
68303,66031,700,Ga3ITe3,ICSD,1.21513,0.296155,184.79
77976,645651,1000,NdNi2Sn2,ICSD,0.582843,0.327921,186.376
68197,634879,1000,Ga2Ni6Pr3,ICSD,0.505856,0.303133,186.642
68231,635052,700,Ga2PbSe4,ICSD,1.21327,0.281502,186.993
56151,58906,1000,CaIn2,ICSD,0.545355,0.309302,187.402
68304,634434,700,Ga3InTe5,ICSD,1.15844,0.306961,188.121
77989,645652,1000,NdNiSn2,ICSD,0.576072,0.316586,188.92
68134,5910282,700,Ga2HgSe4,COD,1.206,0.305605,189.268
81832,1521988,700,TeTl,COD,1.19157,0.310619,189.576
78181,646292,1000,Ni2Pr3Sn7,ICSD,0.582383,0.306662,189.655
70058,31508,1000,Ge8NaRb7,ICSD,0.513335,0.30997,189.78
77898,412926,1000,Nd2Sn3,ICSD,0.633105,0.299951,189.875
68262,150473,1000,Ga2Sr,ICSD,0.557741,0.31412,190.014
68269,635505,1000,Ga2Te5,ICSD,1.17247,0.309648,191.242
68269,635505,700,Ga2Te5,ICSD,1.12176,0.285954,191.242
81844,653245,1000,Th2Tl,ICSD,0.541276,0.325982,191.65
57553,1528026,1000,CeGe2Ni,COD,0.603875,0.313927,191.709
72046,83906,1000,HfLa3Sb5,ICSD,0.56529,0.270299,192.103
78561,416584,1000,NiSm2Sn4,ICSD,0.593288,0.302018,192.319
73559,658297,1000,InPd2Tb2,ICSD,0.530207,0.328754,192.471
56443,619652,1000,Cd2Ce,ICSD,0.531806,0.29426,192.698
68251,1522720,1000,Ga2Sc,COD,0.542497,0.286301,194.648
68091,4106293,700,Ga16Se33Zn4,COD,1.14532,0.317369,194.708
61647,84866,700,CrSbSe3,ICSD,0.908523,0.31074,195.076
72395,658299,1000,Ho2InPd2,ICSD,0.523072,0.320817,195.621
65496,1524594,1000,EuIn2,COD,0.609726,0.321451,197.021
68207,1523101,1000,Ga2NiY,COD,0.504994,0.277892,197.033
11011,2310403,700,BiTe2Tl,COD,1.13129,0.273589,197.42
62204,412155,1000,Cs5Sb8,ICSD,0.578107,0.277647,198.429
68267,657608,1000,Ga2Te3,ICSD,1.17644,0.307812,199.302
68267,657608,700,Ga2Te3,ICSD,1.16617,0.263799,199.302
73155,4302480,700,In2Sb6Zn9,COD,1.13917,0.240093,199.635
73155,4302480,1000,In2Sb6Zn9,COD,1.1672,0.298226,199.635
81662,652642,1000,Sm5Sn4,ICSD,0.57263,0.32362,199.985
73031,370002,1000,In11K8,ICSD,0.546655,0.304193,200.028
11010,9000678,700,BiTe,COD,1.04942,0.307867,200.197
81011,650286,1000,RhSe2,ICSD,1.14306,0.327108,200.869
81011,650286,700,RhSe2,ICSD,0.949304,0.314171,200.869
70501,80292,700,GeTe3Tl2,ICSD,1.26558,0.279982,201.028
67939,657916,1000,FePrSb2,ICSD,0.573551,0.310957,201.113
57840,621988,700,CeRu4Sb12,ICSD,0.75515,0.305347,201.222
68877,1527851,700,GaTe2Tl,COD,1.26404,0.295342,202.435
57123,425075,1000,Ce2Ga3Ru2,ICSD,0.542024,0.303474,202.703
73094,300192,1000,In2Na2Sb3,ICSD,0.624492,0.276884,202.876
68066,2106076,700,Ga13K3,COD,0.513089,0.316651,202.895
56514,1524582,1000,Cd2Pr,COD,0.511493,0.298547,203.001
56813,424170,1000,CdGe2Pr2,ICSD,0.523601,0.310193,203.111
77851,657377,1000,Nd11Sn10,ICSD,0.539828,0.314578,203.315
74862,261872,1000,La3Sn7,ICSD,0.605657,0.28099,203.555
65264,8103657,1000,Eu2In,COD,0.506823,0.309989,203.58
68390,634403,1000,Ga4HoTi2,ICSD,0.60003,0.329848,203.752
68204,634931,1000,Ga2NiSm,ICSD,0.595246,0.328139,204.991
72375,1522655,1000,HgTh2,COD,0.536347,0.287655,205.218
68167,1523559,1000,Ga2Mg,COD,0.5956,0.290355,205.282
69458,414071,1000,Ge2InNd2,ICSD,0.540295,0.321935,205.353
56825,4000657,700,CdGeTe4Tl2,COD,1.31851,0.245679,205.797
81563,9008879,1000,SeZn,COD,1.21675,0.313641,205.809
68067,7221113,1000,Ga13Na7,COD,0.578643,0.295917,206.164
60542,260930,1000,CoGd6Te2,ICSD,0.509912,0.309308,206.717
81416,152638,1000,SbTbZr,ICSD,0.5061,0.286635,206.848
74864,1522573,1000,La3Tl,COD,0.510853,0.324228,206.902
73272,640272,1000,In5Pr3,ICSD,0.547405,0.300489,207.426
57305,54578,1000,Ce4Co2Sn5,ICSD,0.540186,0.287809,207.496
62618,98660,1000,CsNdTe2,ICSD,0.515878,0.328586,207.532
57524,657986,1000,CeFeSb2,ICSD,0.582156,0.316203,207.543
73268,640064,1000,In5Nd3,ICSD,0.550028,0.301681,207.704
67978,657917,1000,FeSb2Sm,ICSD,0.541964,0.3176,208.724
81730,69562,700,SnTe3Tl2,ICSD,1.24493,0.292299,208.994
70109,4000659,700,GeHgTe4Tl2,COD,1.31875,0.249135,209.458
63877,4105347,700,CuInSe2,COD,1.10634,0.32119,209.579
69456,4320129,1000,Ge2InLiSr2,COD,0.506665,0.319207,209.908
68202,634882,1000,Ga2NiPr,ICSD,0.547766,0.304887,209.983
73318,640125,1000,In8Ni7Pr4,ICSD,0.538103,0.308458,210.016
73324,165180,1000,In9KNa3,ICSD,0.583871,0.319588,210.035
63638,9012063,700,CuFeSe2,COD,0.811927,0.32037,210.263
72275,1523810,700,HgIn,COD,1.17126,0.327458,210.64
73067,9015376,1000,In2K2Sb3,COD,0.59351,0.285644,211.664
55676,108796,1000,Ca3Ga8,ICSD,0.56954,0.310686,211.688
72934,66032,700,IIn3Te3,ICSD,1.22145,0.3267,212.326
81398,418213,700,Sb65Zn84,ICSD,1.0903,0.140598,212.848
81398,418213,1000,Sb65Zn84,ICSD,1.14911,0.23636,212.848
73328,4309584,1000,In9Li2Y5,COD,0.559744,0.254805,213.329
78185,646290,1000,Ni2PrSn2,ICSD,0.572622,0.329264,213.399
81808,410895,700,Te3Tl2,ICSD,1.21984,0.262736,213.477
55846,4310163,1000,Ca6Cu2Sn7,COD,0.53763,0.243653,213.632
60949,624816,700,CoRh2Se4,ICSD,0.847765,0.323749,214.114
63270,8101225,700,Cu3Se4V,COD,0.818497,0.324324,214.131
56421,240053,1000,Cd12In48K23Na8,ICSD,0.567055,0.324358,214.548
68155,634508,1000,Ga2LaNi,ICSD,0.529943,0.274875,214.782
77929,4000206,1000,Nd3Sb5Ti,COD,0.575393,0.314512,215.097
57296,1524382,1000,Ce3Sn,COD,0.51606,0.282339,215.732
81693,416771,1000,Sn2Y,ICSD,0.56618,0.264837,215.868
69904,1532942,1000,Ge4Ru2Sm3,COD,0.539211,0.316232,216.074
65497,402571,1000,EuIn2Ni,ICSD,0.590394,0.323888,216.323
73263,165362,1000,In5La3,ICSD,0.510625,0.284998,216.504
77961,657376,1000,Nd5Sn4,ICSD,0.525766,0.314554,217.437
63672,627613,1000,CuGdIn,ICSD,0.530763,0.328712,217.46
81490,1524609,700,Se3SnTl2,COD,1.25282,0.323886,217.859
57215,428424,1000,Ce2Te3,ICSD,0.600821,0.265986,218.011
68135,53575,700,Ga2HgTe4,ICSD,1.2483,0.282366,218.116
81344,651588,700,Sb2SnZn,ICSD,1.18219,0.28996,218.454
73231,186561,1000,In4Ni2Tb5,ICSD,0.537654,0.324863,218.58
